Time_Index,NR_conventional_hydroelectric,NER_conventional_hydroelectric,ER_conventional_hydroelectric,WR_conventional_hydroelectric,SR_conventional_hydroelectric,ER_solar_rt,NER_solar_rt,NR_solar_rt,SR_solar_rt,WR_solar_rt,ER_offshore_wind,SR_offshore_wind,WR_offshore_wind,NER_offshore_wind,NR_offshore_wind,ER_solar_pv,NER_solar_pv,NR_solar_pv,SR_solar_pv,WR_solar_pv,ER_onshore_wind,NER_onshore_wind,NR_onshore_wind,SR_onshore_wind,WR_onshore_wind,ALL_EGcoal,ALL_EGgas,ALL_EGnuclear
69,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.13265,0.219713095,0.200271429,0,0,0,0,0,0,0,0.141944444,0.17709,0.097821442,0.216693333,0.126902185,0.85,0.85,0.709166667
70,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.1085,0.21740119,0.204326984,0,0,0,0,0,0,0,0.185788889,0.167395,0.099626316,0.219249333,0.140140504,0.85,0.85,0.709166667
71,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.1051,0.209861905,0.225261905,0,0,0,0,0,0,0,0.187877778,0.14195,0.103846004,0.219435333,0.133098067,0.85,0.85,0.709166667
72,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.091466667,0.194480952,0.236588889,0,0,0,0,0,0,0,0.181211111,0.14081,0.107200975,0.207423,0.141498655,0.85,0.85,0.709166667
73,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.08075,0.186990476,0.274011111,0,0,0,0,0,0,0,0.186688889,0.14233,0.108150877,0.205327,0.142719916,0.85,0.85,0.709166667
74,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.099566667,0.179896429,0.278288889,0,0,0,0,0,0,0,0.175177778,0.125315,0.112884016,0.1944205,0.150890252,0.85,0.85,0.709166667
75,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.11425,0.182584524,0.282206349,0,0,0,0,0,0,0,0.177366667,0.1419,0.110440546,0.185440333,0.16124437,0.85,0.85,0.709166667
76,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.14565,0.186559524,0.294709524,0,0,0,0,0,0,0,0.174244444,0.14458,0.10084347,0.1859605,0.169807059,0.85,0.85,0.709166667
77,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.175316667,0.186332143,0.283601587,0,0,0,0,0,0,0,0.165366667,0.126325,0.095036062,0.177936333,0.169995378,0.85,0.85,0.709166667
78,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.205533333,0.184958333,0.273666667,0,0,0,0,0,0,0,0.163033333,0.11059,0.082124172,0.173056,0.165060252,0.85,0.85,0.709166667
79,0.21,0.21,0.21,0.21,0.21,0,0.01288,0,0,0,0.233633333,0.196528571,0.250963492,0,0,0,0.013495,0,0,0,0.143788889,0.105565,0.081996101,0.174806,0.162588487,0.85,0.85,0.709166667
80,0.21,0.21,0.21,0.21,0.21,0.099683333,0.19355,0.015033333,0.06303,0.026720357,0.233366667,0.196867857,0.228493651,0,0,0.101166667,0.216625,0.012935867,0.061248179,0.03061958,0.129666667,0.10058,0.074695906,0.169819167,0.164276218,0.85,0.85,0.709166667
81,0.21,0.21,0.21,0.21,0.21,0.24125,0.35495,0.155342222,0.238935,0.187975714,0.23415,0.200333333,0.210031746,0,0,0.2386,0.375605,0.16262729,0.232652833,0.191356387,0.094544444,0.092135,0.071214425,0.1490375,0.156822185,0.85,0.85,0.709166667
