Time_Index,NR_conventional_hydroelectric,NER_conventional_hydroelectric,ER_conventional_hydroelectric,WR_conventional_hydroelectric,SR_conventional_hydroelectric,ER_solar_rt,NER_solar_rt,NR_solar_rt,SR_solar_rt,WR_solar_rt,ER_offshore_wind,SR_offshore_wind,WR_offshore_wind,NER_offshore_wind,NR_offshore_wind,ER_solar_pv,NER_solar_pv,NR_solar_pv,SR_solar_pv,WR_solar_pv,ER_onshore_wind,NER_onshore_wind,NR_onshore_wind,SR_onshore_wind,WR_onshore_wind
70,0.22,0.22,0.22,0.22,0.22,0,0,0,0,0,0.11925,0.14382619,0.271606349,0,0,0,0,0,0,0,0.168066667,0.10961,0.180810526,0.253225167,0.190250756
71,0.22,0.22,0.22,0.22,0.22,0,0,0,0,0,0.117316667,0.150955952,0.265368254,0,0,0,0,0,0,0,0.174644444,0.10148,0.171338986,0.261268,0.207455462
72,0.22,0.22,0.22,0.22,0.22,0,0,0,0,0,0.121316667,0.150035714,0.275104762,0,0,0,0,0,0,0,0.224866667,0.10844,0.178087914,0.238655333,0.22195605
73,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0.482633333,0.22587381,0.24045873,0,0,0,0,0,0,0,0.392177778,0.16196,0.309189669,0.2124545,0.270564538
74,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0.385183333,0.214842857,0.237015873,0,0,0,0,0,0,0,0.3735,0.1695,0.288584016,0.191295,0.25953437
75,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0.3571,0.208009524,0.253755556,0,0,0,0,0,0,0,0.366933333,0.168225,0.310568811,0.167218,0.250445882
76,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0.4016,0.200914286,0.249985714,0,0,0,0,0,0,0,0.376222222,0.17576,0.277220273,0.175519833,0.23336916
77,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0.455783333,0.183088095,0.206709524,0,0,0,0,0,0,0,0.311844444,0.212165,0.243909357,0.156737833,0.218166555
78,0.3,0.3,0.3,0.3,0.3,0,0.006725,0,0,0,0.45545,0.175509524,0.18834127,0,0,3.33E-05,0.0086,0,0,0,0.313788889,0.20069,0.237836842,0.1479905,0.212523782
79,0.3,0.3,0.3,0.3,0.3,0.0691,0.10257,0.023014074,0.010437,0.01272,0.472283333,0.166214286,0.163625397,0,0,0.069766667,0.112365,0.02347271,0.009459295,0.013103109,0.273888889,0.203695,0.225567641,0.125431167,0.197744874
80,0.3,0.3,0.3,0.3,0.3,0.231833333,0.234155,0.142415556,0.132104,0.127965357,0.52935,0.156365476,0.128522222,0,0,0.221188889,0.242465,0.148431774,0.131555282,0.127038067,0.194266667,0.20047,0.207742885,0.100033667,0.185329244
81,0.3,0.3,0.3,0.3,0.3,0.3845,0.346815,0.297673333,0.303483333,0.295955714,0.503616667,0.148409524,0.122961905,0,0,0.353777778,0.360615,0.309081481,0.299693692,0.295317143,0.162533333,0.18084,0.160309942,0.063145833,0.133360168
82,0.3,0.3,0.3,0.3,0.3,0.5102,0.444235,0.427014815,0.446381,0.444201786,0.538366667,0.135540476,0.123838095,0,0,0.470533333,0.45849,0.445638012,0.445367744,0.443517059,0.168844444,0.16541,0.103578752,0.053684333,0.087972269
83,0.3,0.3,0.3,0.3,0.3,0.582933333,0.50665,0.530907407,0.54935,0.554546786,0.529916667,0.131371429,0.114547619,0,0,0.549144444,0.50781,0.549898246,0.552709679,0.549324202,0.141188889,0.154645,0.097525731,0.04923,0.077457983
84,0.3,0.3,0.3,0.3,0.3,0.628983333,0.53164,0.592986667,0.608176,0.621951429,0.5238,0.133779762,0.106650794,0,0,0.587344444,0.538785,0.599883431,0.615776308,0.618369748,0.135633333,0.128125,0.110626121,0.050280167,0.079123697
85,0.3,0.3,0.3,0.3,0.3,0.62125,0.51212,0.611425185,0.616247667,0.6428475,0.491183333,0.146846429,0.118177778,0,0,0.578433333,0.54296,0.611632554,0.625323051,0.635128151,0.123766667,0.147685,0.130435088,0.059809833,0.074734958
