"elec_demand_ER_p20_2024","elec_demand_NER_p20_2024","elec_demand_NR_p20_2024","elec_demand_SR_p20_2024","elec_demand_WR_p20_2024"
25306.8065144029,2129.19303238693,46034.2527231378,49102.2724170764,62757.9045575223
25627.2360278105,2171.74529237984,46466.3791575293,49178.8973555805,62412.2050134858
25667.1312616844,2207.69563109142,46549.1999482382,49092.7836281476,61591.5901952575
25313.0370505134,2230.30374424822,47084.9339969063,48421.9528057877,61700.2237615767
25105.2671679659,2258.80115709089,46751.7316402094,48179.2466395939,62041.7835542243
25477.8537755695,2369.96067607007,46415.4167223112,48002.1830503352,62379.3666182107
24948.3920227086,2278.73150988217,45578.7700409485,46784.4551174157,61586.0206411424
25195.2380742712,2233.61747528286,45788.4788051881,45170.4455105394,59035.1568874528
26518.8579783985,2276.77378146427,45526.0857915963,45900.8329308637,61176.4642431812
24492.6034234373,2238.79922240775,45526.0933927338,44229.3525353898,56996.4821453062
24151.6106315662,2202.50238661927,43273.3821877356,42049.5953818929,55337.7093889021
23594.8461244894,2097.14132110862,41389.7093415468,40298.7361854309,54086.6411320658
22599.1263998281,1937.85493929273,38968.4867492477,38390.5360217917,50473.917769124
21141.5590325849,1616.668736288,36562.936399062,36033.572728957,51006.9266639316
21411.1327209653,1581.83863584477,36156.8805939554,35483.5764024763,50804.3526104015
21250.1331199952,1548.24699907082,35130.8050324237,34587.3203934905,50594.5296042268
21094.1442898517,1514.63407688932,34604.2855457007,34167.6393889799,50336.1964367528
21092.6639571215,1507.14550672002,34415.6815605776,34216.396247402,50376.0593758999
21334.4479980493,1549.34159351418,35583.112454307,35481.8333655257,51022.6641056184
21763.3888092385,1661.33888613784,39113.3890673077,38497.2360560782,52983.0913867042
22497.6642224384,1995.57970108975,43489.3341712248,42067.5614775926,57169.8950971899
22245.4155418329,1957.77334444506,48309.8195179408,46639.6889139741,58557.0119357268
22389.6352462625,1896.24943899816,50557.2452100254,48521.4978420316,62860.1898818157
22068.7054063507,1860.56621590469,50542.2619183943,51134.5831752741,63822.8140945756
23686.655691142,1984.8379054126,50258.5567510234,51562.0632073854,65832.8057529966
24239.9840359379,2025.17349878368,50263.6613389557,51440.6467871451,65465.6316599936
24523.6393047473,2047.08082499314,49694.172629665,51208.3454147154,64549.0382641102
24530.2812797715,2096.71669256859,48890.1542171432,50341.0160487874,64619.1709694658
24130.7175721798,2124.2910508229,47747.3206637461,49911.0674669162,64993.8527565438
24328.9098744576,2230.80786438088,46713.6550041449,49560.8523820037,65177.2453918965
23062.3902211239,2193.99405139161,45687.0399032276,47904.8874180086,63750.2498138666
23454.9046481826,2200.80841438554,46759.3776657395,45412.5825377287,60520.040079727
24108.4700844791,2293.23809603892,49249.64712715,45533.8550337657,61188.6275787051
24015.5395585313,2332.82092710806,49408.4307003521,44560.2355349919,58491.1488589827
23740.2484618381,2287.92067905933,46711.9505182523,42378.7949333299,55855.3863456923
23244.277055771,2183.42042826182,43716.9052852158,40767.1089087491,54032.4523807964
22690.794098015,2009.61700134279,40455.4963368506,38766.2412026908,52528.8290880767
21651.9109370893,1668.47689233507,37742.8640216697,36503.1737985934,51097.8521085852
23192.0233403198,1626.58557703751,38479.9045373801,39776.8477578042,51689.2707284382
22959.890675137,1545.90313526104,36831.7103618499,38940.5173220817,51493.9660480718
22764.0205439946,1501.19271707918,36071.5754291267,38573.7700233768,51263.3513835106
22744.410248264,1484.5843659096,36037.9080920028,38725.1836711096,51289.2899560862
22906.8252763814,1513.38329070312,37597.2275087288,39664.6946900271,51838.2710636271
22974.8234575697,1668.4666273271,41280.4127847238,42232.6050300158,53448.3670909799
22568.2121968464,2040.94348122159,42533.6029550039,44158.5991152775,56271.0768658326
23000.9861221046,2295.45273514445,46554.1070578333,49303.3132411085,57439.0743167421
23345.0253585666,2243.08451332584,50585.8000041827,52181.837113379,62078.403296306
23257.0784259587,2088.47245727095,52955.924837297,55954.3617173391,62642.6179462011
24178.2766830819,1998.28524105681,53456.0311842847,58056.918184239,64763.2510638684
